"","reviews_per_month","availability_30","price","id","place"
"2723",0.53,28,295,1790253,"Brussels"
"2724",0.36,0,115,1790914,"Brussels"
"2725",0.63,0,190,1803745,"Brussels"
"2726",0.05,0,57,1804342,"Brussels"
"2727",0.32,29,55,1805616,"Brussels"
"2728",6.44,0,46,1842688,"Brussels"
"2729",0.01,0,51,1842707,"Brussels"
"2730",0.35,11,50,1852275,"Brussels"
"2731",4.69,0,65,1865403,"Brussels"
"2732",1.67,0,125,1866754,"Brussels"
"2733",0.08,30,75,1871520,"Brussels"
"2734",2.35,0,62,1874899,"Brussels"
"2735",2.43,0,97,1879589,"Brussels"
"2736",0.04,0,89,1883716,"Brussels"
"2737",1.19,0,89,1884285,"Brussels"
"2738",1.06,28,79,1888200,"Brussels"
"2739",0.17,0,110,1889208,"Brussels"
"2740",1.2,0,50,1891066,"Brussels"
"2741",0.81,0,50,1892579,"Brussels"
"2742",0.85,28,110,1896021,"Brussels"
"2743",0.03,0,65,1896031,"Brussels"
"2744",0.37,0,59,1899031,"Brussels"
"2745",2.04,26,681,1899655,"Brussels"
"2746",0.14,0,88,1908140,"Brussels"
"2747",0.55,8,250,1911703,"Brussels"
"2748",0.08,0,55,1912656,"Brussels"
"2749",0.26,27,75,1933921,"Brussels"
"2750",0.43,0,25,1934863,"Brussels"
"2751",0.19,4,110,1938833,"Brussels"
"2752",0.07,0,95,1942214,"Brussels"
"2753",4.36,16,25,1945739,"Brussels"
"2754",1.35,28,140,1953021,"Brussels"
"2755",2.54,0,70,1982347,"Brussels"
"2756",0.24,0,75,1994919,"Brussels"
"2757",5.18,15,55,2004537,"Brussels"
"2758",0.34,0,75,2010179,"Brussels"
"2759",0.43,29,55,2035066,"Brussels"
"2760",0.59,0,35,2041563,"Brussels"
"2761",1.14,18,36,2044409,"Brussels"
"2762",0.13,29,65,2048129,"Brussels"
"2763",1.2,20,53,2055966,"Brussels"
"2764",1.05,12,62,2066291,"Brussels"
"2765",0.07,0,82,2069617,"Brussels"
"2766",NA,0,70,2070046,"Brussels"
"2767",0.03,27,70,2070204,"Brussels"
"2768",6.16,28,59,2075949,"Brussels"
"2769",0.21,0,130,2076977,"Brussels"
"2770",0.14,0,40,2077215,"Brussels"
"2771",1.1,0,32,2085077,"Brussels"
"2772",2.36,0,57,2087937,"Brussels"
"2773",0.11,28,130,2095796,"Brussels"
"2774",0.51,6,59,2103248,"Brussels"
"2775",1.22,0,40,2144363,"Brussels"
"2776",0.21,0,70,2156916,"Brussels"
"2777",1.72,30,69,2180195,"Brussels"
"2778",0.09,24,95,2191342,"Brussels"
"2779",1.02,24,70,2205147,"Brussels"
"2780",0.06,18,75,2205932,"Brussels"
"2781",1.12,14,75,2206924,"Brussels"
"2782",0.33,30,89,2218505,"Brussels"
"2783",0.3,18,110,2234998,"Brussels"
"2784",0.77,0,125,2235474,"Brussels"
"2785",NA,0,46,2237160,"Brussels"
"2786",0.02,0,45,2239570,"Brussels"
"2787",0.34,0,79,2240387,"Brussels"
"2788",1.16,0,71,2281629,"Brussels"
"2789",0.07,0,60,2303212,"Brussels"
"2790",1.58,29,65,2304627,"Brussels"
"2791",1.41,27,95,2318370,"Brussels"
"2792",0.03,11,63,2321989,"Brussels"
"2793",0.22,0,73,2322992,"Brussels"
"2794",1.01,29,63,2350491,"Brussels"
"2795",0.61,0,26,2365306,"Brussels"
"2796",3.54,18,119,2366017,"Brussels"
"2797",NA,0,49,2389665,"Brussels"
"2798",0.62,0,185,2390238,"Brussels"
"2799",0.23,30,45,2408595,"Brussels"
"2800",4.82,30,50,2423563,"Brussels"
"2801",4.18,0,55,2434810,"Brussels"
"2802",0.04,0,50,2443494,"Brussels"
"2803",0.47,29,45,2451059,"Brussels"
"2804",0.35,0,32,2453679,"Brussels"
"2805",8.6,0,47,2475235,"Brussels"
"2806",0.5,29,150,2499197,"Brussels"
"2807",0.13,0,60,2515588,"Brussels"
"2808",0.26,0,35,2517831,"Brussels"
"2809",5.35,12,85,2527721,"Brussels"
"2810",1.27,29,45,2533747,"Brussels"
"2811",1.25,29,33,2534807,"Brussels"
